Account,GameNumber,Date,StartTime,DayOfWeek,HourOfDay,GameOfDay,GameOfWeek,TimeControl,MyElo,OppElo,Color,ECO,Result,Termination,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResult,2ndLastResult,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,MyCastlingMove,OppCastlingMove,TimeSinceLast
Cosmos_IV,12,2020-05-18,15:49:55,2,16,12,12,600,1029,1046,white,D04,lost,resignation,Yes,Yes,No,Yes,No,won,won,24,24,248.9,245.9,10.37,10.25,8,11,59848.30
Cosmos_IV,13,2020-05-18,15:58:34,2,16,13,13,600,1009,1131,white,D02,lost,resignation,No,No,No,No,No,lost,won,8,8,45.8,29.1,5.72,3.64,N/A,N/A,270.10
Cosmos_IV,14,2020-05-18,16:00:13,2,17,14,14,600,1035,1019,white,D02,won,resignation,Yes,Yes,No,Yes,No,lost,lost,38,38,490.5,516.2,12.91,13.58,12,18,53.20
Cosmos_IV,15,2020-05-19,15:29:57,3,16,4,15,600,1017,1123,black,C45,lost,resignation,No,No,No,Yes,No,won,lost,29,30,203.1,71.3,7.0,2.38,N/A,11,84093.50
Cosmos_IV,16,2020-05-19,15:35:07,3,16,5,16,600,1041,1040,black,D07,won,checkmate,No,No,No,No,No,lost,won,27,27,327.3,371,12.12,13.74,N/A,N/A,106.90
Cosmos_IV,17,2020-05-19,16:14:59,3,17,3,17,600,1058,963,black,C44,won,checkmate,No,No,Yes,No,Yes,won,lost,35,35,475.2,490.9,13.58,14.03,12,12,2064.70
Cosmos_IV,18,2020-05-19,16:35:44,3,17,4,18,600,1078,1053,white,B00,won,abandoned,Yes,Yes,No,No,No,won,won,13,12,120,86,9.23,7.17,11,N/A,769.80
Cosmos_IV,19,2020-05-19,16:57:22,3,17,5,19,600,1059,1081,black,C50,lost,resignation,No,No,No,Yes,No,won,won,43,43,541.7,404.1,12.6,9.4,N/A,12,1178.00
Cosmos_IV,20,2020-05-19,17:13:12,3,18,6,20,600,1057,1024,white,D02,draw,timeout vs insufficient material,No,No,Yes,Yes,No,lost,won,71,70,593.6,598.8,8.36,8.55,16,12,408.30
Cosmos_IV,21,2020-05-19,19:07:53,3,20,7,21,600,1040,1065,black,C20,lost,resignation,No,No,No,No,No,draw,lost,3,4,11.2,7.1,3.73,1.78,N/A,N/A,6287.40
