Account,IsMonday,IsTuesday,IsWednesday,IsThursday,IsFriday,IsSaturday,IsSunday,TimeOfDay,GameOfDay,GameOfWeek,TimeControl,EloDifference,Color,Result,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResultIsWin,LastResultIsDraw,LastResultIsLoss,2ndLastResultIsWin,2ndLastResultIsDraw,2ndLastResultIsLoss,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,TimeSinceLast
0,0,0,0,1,0,0,0,15243,17,17,600,34,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6,7.6,12.6,1.27,2.1,269.8
0,0,0,0,1,0,0,0,15301,18,18,600,-35,1,2,0,0,0,1,0,1,0,0,0,0,1,10,11,53.2,96.2,5.32,8.75,50.4
0,0,0,0,1,0,0,0,33165,19,19,600,-33,0,2,0,1,0,1,0,0,0,1,1,0,0,36,36,459.2,197.5,12.76,5.49,17810.8
0,0,0,0,1,0,0,0,33879,20,20,600,-9,1,2,1,0,1,0,0,0,0,1,0,0,1,52,53,594.4,368.6,11.43,6.95,254.8
0,0,0,0,1,0,0,0,34882,21,21,600,-35,1,2,0,0,0,1,0,0,0,1,0,0,1,23,24,272.1,274.4,11.83,11.43,408.6
0,0,0,0,1,0,0,0,35467,22,22,600,2,0,0,0,1,0,0,1,0,0,1,0,0,1,29,29,269.1,278.0,9.28,9.59,312.9
0,0,0,0,1,0,0,0,80787,11,23,600,7,0,0,1,0,1,1,0,1,0,0,0,0,1,35,34,422.4,305.5,12.07,8.99,45050.9
0,0,0,0,1,0,0,0,81548,12,24,600,-20,1,2,0,0,0,0,0,1,0,0,1,0,0,12,13,78.5,104.3,6.54,8.02,338.6
0,0,0,0,0,1,0,0,125,13,25,600,-7,0,0,0,0,0,0,0,0,0,1,1,0,0,18,17,81.3,210.4,4.52,12.38,4898.5
0,0,0,0,0,1,0,0,425,14,26,600,27,1,2,1,1,0,0,0,1,0,0,0,0,1,25,26,455.5,232.1,18.22,8.93,218.7
0,0,0,0,0,1,0,0,1123,15,27,600,6,1,0,0,0,0,1,0,0,0,1,1,0,0,59,59,342.7,276.4,5.81,4.68,242.5
0,0,0,0,0,1,0,0,41060,6,28,600,21,0,0,0,0,0,0,0,1,0,0,0,0,1,19,18,149.3,113.5,7.86,6.31,39594.3
0,0,0,0,0,1,0,0,41388,7,29,600,19,0,2,0,0,1,1,0,1,0,0,1,0,0,31,30,386.1,249.9,12.45,8.33,178.7
0,0,0,0,0,1,0,0,42042,8,30,600,26,1,0,0,0,0,0,0,0,0,1,1,0,0,15,15,154.3,194.9,10.29,12.99,267.9
0,0,0,0,0,1,0,0,42916,9,31,600,-13,1,2,0,0,0,0,0,1,0,0,0,0,1,6,7,26.2,46.1,4.37,6.59,719.7
0,0,0,0,0,1,0,0,43002,10,32,600,-22,0,2,0,0,0,0,0,0,0,1,1,0,0,12,12,69.6,39.4,5.8,3.28,59.8
0,0,0,0,0,1,0,0,43135,11,33,600,59,1,0,0,0,0,1,0,0,0,1,0,0,1,26,26,412.8,301.4,15.88,11.59,63.4
0,0,0,0,0,1,0,0,44200,12,34,600,61,0,0,1,0,1,1,0,1,0,0,0,0,1,34,33,476.3,599.3,14.01,18.16,652.2
0,0,0,0,0,1,0,0,45365,13,35,600,40,1,1,1,0,1,0,0,1,0,0,1,0,0,48,48,507.0,234.7,10.56,4.89,688.7
0,0,0,0,0,1,0,0,46861,14,36,600,22,0,0,1,1,0,1,0,0,1,0,1,0,0,23,22,342.4,173.7,14.89,7.9,989.0
0,0,0,0,0,1,0,0,48134,15,37,600,-30,1,0,0,0,0,0,0,1,0,0,0,1,0,41,41,508.7,407.1,12.41,9.93,930.6
0,0,0,0,0,1,0,0,53490,16,38,600,-14,0,0,0,0,1,1,0,1,0,0,1,0,0,73,72,594.0,599.7,8.14,8.33,4847.3
0,0,0,0,0,1,0,0,62174,17,39,600,46,0,0,1,0,1,1,0,1,0,0,1,0,0,16,15,111.5,56.8,6.97,3.79,8090.0
0,0,0,0,0,1,0,0,62518,18,40,600,1,1,2,0,0,0,1,0,1,0,0,1,0,0,11,12,104.8,77.4,9.53,6.45,232.5
0,0,0,0,0,1,0,0,62733,19,41,600,25,1,2,0,0,0,1,0,0,0,1,1,0,0,50,51,509.5,325.5,10.19,6.38,110.2
0,0,0,0,0,1,0,0,63602,20,42,600,-10,1,0,0,0,0,1,0,0,0,1,0,0,1,10,10,44.9,69.2,4.49,6.92,359.5
0,0,0,0,0,1,0,0,63744,21,43,600,-14,0,2,1,0,1,0,0,1,0,0,0,0,1,37,36,298.6,358.5,8.07,9.96,97.1
0,0,0,0,0,1,0,0,64433,22,44,600,5,1,0,0,0,0,1,0,0,0,1,1,0,0,23,23,262.7,216.5,11.42,9.41,390.4
0,0,0,0,0,1,0,0,68749,23,45,600,-25,0,0,1,0,1,0,0,1,0,0,0,0,1,37,36,478.6,232.1,12.94,6.45,4053.3
0,0,0,0,0,1,0,0,70201,24,46,600,2,0,2,0,0,0,0,0,1,0,0,1,0,0,7,7,19.5,13.7,2.79,1.96,973.4
0,0,0,0,0,1,0,0,70307,25,47,600,-47,0,2,0,0,1,1,0,0,0,1,1,0,0,31,31,301.5,265.3,9.73,8.56,86.5
0,0,0,0,0,1,0,0,70946,26,48,600,-5,1,2,0,0,0,1,0,0,0,1,0,0,1,50,51,366.7,572.5,7.33,11.23,337.5
0,0,0,0,0,1,0,0,72032,27,49,600,-31,0,2,0,1,0,1,0,0,0,1,0,0,1,40,40,469.7,274.4,11.74,6.86,719.3
